"","City","Longitude","Latitude"
"147","buenos aires",-74.433333,4.166667
"148","buenos aires",-74.95,10.05
"149","buenos aires",-73.149355,5.130882
"150","buenos aires",-74.8712,5.362794
"151","buenos aires",-74.181069,10.524819
"152","buenos aires",-74.746632,9.431803
"153","buenos aires",-84.43548,10.068928
"154","buenos aires",-85.590372,10.563343
"155","buenos aires",-83.095065,9.986537
"156","buenos aires",-83.502242,8.859576
"157","buenos aires",-82.3205556,23.0758333
"158","buenos aires",-80.15,21.9666667
"159","buenos aires",-82.3833333,22.9166667
"160","buenos aires",-69.7166667,18.6333333
"161","buenos aires",-70.15,19.3166667
"162","buenos aires",-69.05,18.8166667
"163","buenos aires",-69.9666667,18.7166667
"164","buenos aires",-79.4666667,-2.55
"165","buenos aires",-80.2,-3.4
"166","buenos aires",-78.9027778,1.175
"167","buenos aires",-80.7,-1.95
"168","buenos aires",-80.0666667,-3.9833333
"169","buenos aires",-80.3333333,-1.3666667
"170","buenos aires",-16.266667,28.45
"171","buenos aires",-91.45,15.35
"172","buenos aires",-88.583333,15.533333
"173","buenos aires",-89.8,14.35
"174","buenos aires",-90.0921,17.42321
"175","buenos aires",-87.2833333,15.7
"176","buenos aires",-87.18,13.4688889
"177","buenos aires",-85.2166667,15.9166667
"178","buenos aires",-87.9666667,14.7333333
"179","buenos aires",-88.9666667,15.0333333
"180","buenos aires",-88.1833333,15.4833333
"181","buenos aires",-86.45,13.8666667
"182","buenos aires",-87.4738889,13.9113889
"183","buenos aires",-88.3,13.9833333
"184","buenos aires",-87.8,13.9333333
"185","buenos aires",-88.6,14.4333333
"186","buenos aires",-88.2166667,14.6
"187","buenos aires",-87.7333333,13.6166667
"188","buenos aires",-86.7333333,15.35
"189","buenos aires",-102.383333,21.7
"190","buenos aires",-116.6,31.55
"191","buenos aires",-90.916667,18.316667
"192","buenos aires",-92.483333,14.883333
"193","buenos aires",-106.733333,28.2
"194","buenos aires",-100.55,25.316667
"195","buenos aires",-103.790278,19.225
"196","buenos aires",-103.95,25.3
"197","buenos aires",-101.833333,20.383333
"198","buenos aires",-98.641667,16.483333
"199","buenos aires",-98.55,21.316667
"200","buenos aires",-102.166667,20.383333
"201","buenos aires",-99.833333,18.858333
"202","buenos aires",-102.166667,19.066667
"203","buenos aires",-104.275,21.220833
"204","buenos aires",-98.466667,16.333333
"205","buenos aires",-99.05,21.366667
"206","buenos aires",-106.666667,23.166667
"207","buenos aires",-109.6,27.2
"208","buenos aires",-92.708333,17.3625
"209","buenos aires",-99.556667,24.349444
"210","buenos aires",-95.483333,18.025
"211","buenos aires",-85.5333333,12.5
"212","buenos aires",-87,12.3833333
"213","buenos aires",-85.6333333,13.0333333
"214","buenos aires",-85.8166667,11.4666667
"215","buenos aires",-84.2666667,12.05
"216","buenos aires",-82.1666667,8.9166667
"217","buenos aires",-81.6666667,8.2666667
"218","buenos aires",-80.15,8.5166667
"219","buenos aires",-80.4833333,7.4
"220","buenos aires",-79.95,8.6333333
"221","buenos aires",-81.4833333,8.4
"222","buenos aires",-72.4786111,-15.9102778
"223","buenos aires",-74.6666667,-13.5833333
"224","buenos aires",-78.8116667,-5.8491667
"225","buenos aires",-72.3833333,-12.4666667
"226","buenos aires",-75.6333333,-13.1166667
"227","buenos aires",-76.1194444,-9.1858333
"228","buenos aires",-73.7505556,-10.805
"229","buenos aires",-79.5886111,-7.1436111
"230","buenos aires",-76.5666667,-12.5166667
"231","buenos aires",-73.1961111,-3.7427778
"232","buenos aires",-79.9641667,-5.2608333
"233","buenos aires",-75.7666667,-6.4
"234","buenos aires",-74.3961111,-8.8413889
"235","buenos aires",124.1637,9.7965
"236","buenos aires",123.2891,13.8976
"237","buenos aires",123.7092,12.4876
"238","buenos aires",124.776389,11.983611
"239","buenos aires",124.2925,12.464444
"240","buenos aires",123.0824,10.8255
"241","buenos aires",6.7166667,0.2666667
"242","buenos aires",-88.8,13.8666667
"243","buenos aires",-89.0333333,13.7333333
"244","buenos aires",-89.3858333,13.5327778
"245","buenos aires",-89.6475,13.8833333
"246","buenos aires",-89.8833333,13.65
"247","buenos aires",-88.5833333,13.45
"248","buenos aires",-61.6833333,10.1
"249","buenos aires",-111.6566667,31.5211111
"250","buenos aires",-66.0630556,18.4405556
"251","buenos aires",-103.4686111,29.085
"252","buenos aires",-65.95,3.0166667
"253","buenos aires",-65.5216667,10.0105556
"254","buenos aires",-67.6166667,6.3833333
"255","buenos aires",-70.1833333,8.0333333
"256","buenos aires",-67.7166667,9.9666667
"257","buenos aires",-68.6833333,9.5
"258","buenos aires",-70.7872222,10.6516667
"259","buenos aires",-65.3177778,8.7772222
"260","buenos aires",-70.62,10.195
"261","buenos aires",-71.5488889,8.6694444
"262","buenos aires",-65.8166667,10.1833333
"263","buenos aires",-63.8583333,10.0211111
"264","buenos aires",-63.8666667,11.0227778
"265","buenos aires",-69.8930556,8.9286111
"266","buenos aires",-63.8166667,10.2055556
"267","buenos aires",-68.6480556,10.0944444
"268","buenos aires",-71.7066667,8.8327778
"269","buenos aires",-66.9166667,10.4833333
"270","buenos aires",-67.35,10.4333333
"271","kolkata",88.369722,22.569722
"272","manila",-72.678678,5.23839
"273","manila",-74.433333,4.766667
"274","manila",-83.414313,10.167185
"275","manila",-79.5,-1.7
"276","manila",47.5,-23.25
"277","manila",-10.95,13.7666667
"278","manila",-103.533333,25.683333
"279","manila",-102.283333,18.766667
"280","manila",-100.166667,24.866667
"281","manila",123.95,13.233333
"282","manila",121.3356,12.369
"283","manila",125.567222,8.805556
"284","manila",120.9822,14.6042
"285","manila",-87.7230556,31.5083333
"286","manila",-110.4127778,34.965
"287","manila",-90.1669444,35.88
"288","manila",-124.1611111,40.8519444
"289","manila",-104.5219444,39.7563889
"290","manila",-82.9155556,37.8427778
"291","manila",-93.3361111,38.5511111
"292","manila",-84.4786111,35.4625
"293","manila",-109.7219444,40.9880556
"294","manila",-81.9430556,37.9866667
"295","guangzhou",114.134262,27.381639
"296","guangzhou",113.25,23.116667
"297","tianjin",119.526518,30.73454
"298","tianjin",117.176667,39.142222
"299","tianjin",112.919327,22.451458
"300","lahore",12.6,7.3166667
"301","lahore",68.761791,30.399965
"302","lahore",74.343611,31.549722
"303","lahore",-77.9697222,38.1986111
"304","rio de janeiro",-43.233333,-22.9
"305","rio de janeiro",-75.657222,3.841667
"306","rio de janeiro",-75.852778,5.02
"307","rio de janeiro",-71.8166667,-4.3833333
"308","bangalore",77.583333,12.983333
"309","shenzhen",121.339707,29.415912
"310","shenzhen",121.293703,31.717778
"311","shenzhen",114.133333,22.533333
"312","moscow",37.615556,55.752222
"313","moscow",-88.1027778,33.8697222
"314","moscow",-91.795,34.1463889
"315","moscow",-116.9991667,46.7325
"316","moscow",-89.0525,37.4113889
"317","moscow",-85.5566667,39.4852778
"318","moscow",-91.0825,41.575
"319","moscow",-101.2052778,37.3236111
"320","moscow",-89.0361111,36.6069444
"321","moscow",-69.8916667,45.0705556
"322","moscow",-79.0052778,39.5436111
